               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,             0.01848,           0.0052038,          0.00087631,             0.98977,             0.99096,              0.9927,             0.78163,            0.018062,           0.0037817,           0.0016041,           0.0079581,           0.0079581,           0.0079581
                  35,            0.018692,           0.0052828,           0.0012416,              0.9866,             0.96793,             0.98804,             0.77155,             0.01879,           0.0041012,           0.0018216,           0.0078963,           0.0078963,           0.0078963
                  36,            0.018687,           0.0052974,           0.0010895,             0.99049,             0.98389,             0.98836,             0.79121,            0.017645,           0.0037683,           0.0017273,           0.0078344,           0.0078344,           0.0078344
                  37,            0.018051,            0.005128,           0.0009609,             0.99103,             0.98673,             0.98899,             0.79081,             0.01787,           0.0037208,           0.0017825,           0.0077725,           0.0077725,           0.0077725
                  38,            0.017756,           0.0050499,           0.0011214,             0.98733,             0.98607,              0.9899,             0.78611,            0.017876,           0.0038569,           0.0016311,           0.0077106,           0.0077106,           0.0077106
                  39,            0.017863,           0.0050549,           0.0010839,             0.99165,             0.98513,             0.99026,             0.78934,            0.017717,           0.0037295,           0.0016089,           0.0076488,           0.0076488,           0.0076488
                  40,             0.01767,            0.005079,           0.0010727,                0.99,             0.98639,             0.98978,             0.79217,            0.017879,           0.0038359,           0.0016327,           0.0075869,           0.0075869,           0.0075869
                  41,            0.017813,           0.0049387,          0.00099938,              0.9871,              0.9844,             0.99114,             0.79175,            0.017898,            0.003809,           0.0016771,            0.007525,            0.007525,            0.007525
                  42,            0.017619,           0.0049748,          0.00093816,             0.98915,             0.98429,               0.989,             0.79558,            0.017215,           0.0037335,           0.0018325,           0.0074631,           0.0074631,           0.0074631
                  43,            0.017511,           0.0049529,          0.00072235,             0.98765,             0.98652,             0.99002,             0.78832,            0.017597,           0.0037534,            0.001725,           0.0074013,           0.0074013,           0.0074013
                  44,            0.017566,           0.0049291,          0.00091266,             0.98866,             0.98284,             0.98954,             0.79233,            0.017343,           0.0037683,           0.0017123,           0.0073394,           0.0073394,           0.0073394
                  45,            0.017261,           0.0049142,          0.00075852,             0.99045,             0.98673,             0.99008,             0.79454,            0.017716,           0.0038062,           0.0016825,           0.0072775,           0.0072775,           0.0072775
                  46,            0.016996,           0.0049417,          0.00075334,             0.98895,             0.98884,             0.98888,             0.80097,            0.017133,           0.0036537,           0.0016268,           0.0072156,           0.0072156,           0.0072156
                  47,            0.016862,           0.0049744,          0.00065717,             0.99117,              0.9868,             0.98928,             0.80016,            0.017111,           0.0036885,           0.0014929,           0.0071538,           0.0071538,           0.0071538
                  48,            0.016751,           0.0048506,            0.001027,             0.99225,             0.98485,             0.99015,             0.79455,            0.017178,           0.0037469,           0.0017064,           0.0070919,           0.0070919,           0.0070919
                  49,            0.016996,           0.0048638,          0.00083332,             0.98885,             0.98858,             0.98831,             0.79724,             0.01721,           0.0036919,           0.0017402,             0.00703,             0.00703,             0.00703
                  50,            0.016636,           0.0047858,          0.00068382,             0.99028,             0.98709,             0.98916,             0.79463,            0.017392,           0.0037031,           0.0017131,           0.0069681,           0.0069681,           0.0069681
                  51,             0.01627,            0.004794,          0.00080419,             0.99123,             0.98739,             0.99001,             0.79419,             0.01715,           0.0037264,           0.0016063,           0.0069063,           0.0069063,           0.0069063
                  52,            0.016317,           0.0048082,           0.0009039,             0.98912,             0.98884,             0.99157,             0.79487,            0.017355,           0.0036763,           0.0016819,           0.0068444,           0.0068444,           0.0068444
                  53,            0.015927,           0.0045993,          0.00070044,             0.98647,             0.98884,             0.98955,             0.80372,            0.016991,           0.0036753,           0.0016722,           0.0067825,           0.0067825,           0.0067825
                  54,            0.016255,           0.0047432,          0.00063556,             0.99097,             0.98234,             0.98858,             0.79818,            0.017277,           0.0037072,           0.0016524,           0.0067206,           0.0067206,           0.0067206
                  55,            0.015983,           0.0046591,          0.00079854,             0.99124,             0.98426,             0.99228,             0.79921,            0.017241,           0.0036832,           0.0015248,           0.0066587,           0.0066587,           0.0066587
                  56,            0.016072,           0.0046809,          0.00082967,             0.98987,             0.98785,             0.98997,             0.79936,             0.01713,           0.0036567,           0.0017179,           0.0065969,           0.0065969,           0.0065969
                  57,            0.016157,           0.0046978,            0.000782,             0.98984,             0.98779,              0.9896,             0.80236,            0.017076,           0.0036409,           0.0015802,            0.006535,            0.006535,            0.006535
                  58,            0.015879,           0.0046342,          0.00072205,             0.98789,             0.98767,             0.99014,             0.80355,            0.017019,           0.0036676,           0.0015867,           0.0064731,           0.0064731,           0.0064731
                  59,             0.01574,           0.0045659,          0.00064475,             0.99039,             0.98786,             0.99064,             0.80694,            0.016804,           0.0036305,           0.0016103,           0.0064112,           0.0064112,           0.0064112
